login;Apellido1;Apellido2;Nombre;DNI;Movil;Fijo;Calle;Localidad;CP;Provincia;Correo;Puesto;Departamento
mtalavera;TALAVERA;OCHIPINTI;MARIA;14767077L;686186114;930618776;Calle  Conchita Piquer , 15;Cuart de Poblet;46009;Valencia;mtalavera@fpmislata.fp;Pintura;Mantenimiento
atalavera;TALAVERA;RUANO;AMPARO;91100046J;612894482;923159146;Calle  Santa Genoveva Torres , 41;Teulada ;46019;Alicante;atalavera@fpmislata.fp;Programador Senior;Desarrollo
atarancon;TARANCON;OJEDA;ANA;44656554F;656427249;958418234;Calle  San Pancracio , 17;Picaña;46009;Valencia;atarancon@fpmislata.fp;Pintura;Mantenimiento
mtarin;TARIN;GONZALEZ;MARGARITA;22539465V;660524632;919141278;Calle  San Columbano , 21;Alcira;46015;Valencia;mtarin@fpmislata.fp;Becario;Desarrollo
ttent;TENT;LEIVA;TERESA;29196574Y;690358499;974918418;Calle  San Cristóbal , 19;Benimuslem;46009;Valencia;ttent@fpmislata.fp;Pintura;Mantenimiento
atornero;TORNERO;PEÑA;ADRIAN;55194692M;661468795;971079338;Plaza  San Pedro Nolasco , 12;Benegida;46020;Valencia;atornero@fpmislata.fp;Analista programador;Desarrollo
ctorres;TORRES;GUERRA;CESAR;19092625A;651881316;914673003;Plaza  Actor Enrique Rambal , 30;San Juan de Énova;46003;Valencia;ctorres@fpmislata.fp;Becario;Administración de Sistemas
etortajada;TORTAJADA;BARBA;EMPAR;32127934Q;638066116;940588521;Calle  Ismael Merlo (Actor) , 18;Sellent;46009;Valencia;etortajada@fpmislata.fp;Pintura;Mantenimiento
ktsiakhanskaya;TSIAKHANSKAYA;VILLALBA;KARINA;91799815F;673534870;920988103;Calle  Vicente Parra (Actor) , 39;Cotes;46022;Valencia;ktsiakhanskaya@fpmislata.fp;Analista;Desarrollo
butrillas;UTRILLAS;MONDEJAR;BEATRIZ;98674076M;620113182;958303982;Calle  Actor Rivelles , 9;Denia ;46020;Alicante;butrillas@fpmislata.fp;Analista programador;Desarrollo
jvalls;VALLS;PEREZ;JUAN;80326551V;694742324;917077237;Calle  Cuba , 20;Jávea ;46017;Alicante;jvalls@fpmislata.fp;Programador Senior;Desarrollo
pverdejo;VERDEJO;MERINO;PATRICIO;12688118F;614790554;947935564;Calle  Dénia , 36;Calpe ;46001;Alicante;pverdejo@fpmislata.fp;Programador Junior;Desarrollo
pverdet;VERDET;ANDREU;PALINA;40647172P;681072665;959019765;Calle  Filipinas , 11;Teulada ;46006;Alicante;pverdet@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
avidal;VIDAL;VILLANUEVA;ANA;11246963D;612794882;930618776;Calle  Sueca , 27;Castalla;46006;Alicante;avidal@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
lvila;VILA;PALACIOS;LUIS;73095828B;657894423;958418234;Calle  Nino Bravo (Cantant) , 37;Onil;46006;Alicante;lvila@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
mvillalba;VILLALBA;VILLAR;MARIA;24636373S;638445061;919141278;Calle  Actor Daniel Benítez , 29;Bañeres;46006;Alicante;mvillalba@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
avizuete;VIZUETE;LOPEZ;AARON;58256330K;683171994;974918418;Calle  Dolores Márques , 6;Tibi;46013;Alicante;avizuete@fpmislata.fp;Limpieza;Mantenimiento
nzacares;ZACARES;HERRERA;NATACHA;74521186J;646300712;971079338;Calle  Escalante , 30;Benegida;46014;Valencia;nzacares@fpmislata.fp;Seguridad;Seguridad
szamora;ZAMORA;GARCIA;SARAY;9791399T;636650949;914673003;Calle  Puerto Rico , 40;San Juan de Énova;46020;Valencia;szamora@fpmislata.fp;Analista programador;Desarrollo
